,symbol,timestamp,type,strike_price,expiration,bid_price,bid_amount,ask_price,ask_amount,mark_price,mark_iv,underlying_price,delta,theta,datetime,expiration_datetime,days_to_expiration
684,ETH-24APR20-200-P,1583020801437000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,276.0,0.084297,88.3,222.35,-0.31515,-0.24769000000000002,2020-03-01 00:00:01.437,2020-04-24 08:00:00,54 days 07:59:58.563000
784,ETH-24APR20-280-C,1583020803034000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.061814999999999995,92.37,222.26,0.31924,-0.26042,2020-03-01 00:00:03.034,2020-04-24 08:00:00,54 days 07:59:56.966000
961,ETH-24APR20-300-C,1583020803370000,call,300.0,1587715200000000,0.0435,282.0,0.055,282.0,0.048625,94.65,222.26,0.26149,-0.24299,2020-03-01 00:00:03.370,2020-04-24 08:00:00,54 days 07:59:56.630000
1092,ETH-24APR20-220-P,1583020804377000,put,220.0,1587715200000000,0.1195,258.0,0.1345,258.0,0.129244,88.1,222.26,-0.42075,-0.27185,2020-03-01 00:00:04.377,2020-04-24 08:00:00,54 days 07:59:55.623000
1079,ETH-24APR20-260-C,1583020804378000,call,260.0,1587715200000000,0.0755,268.0,0.08800000000000001,268.0,0.081314,91.26,222.26,0.39381,-0.27707,2020-03-01 00:00:04.378,2020-04-24 08:00:00,54 days 07:59:55.622000
1587,ETH-24APR20-240-C,1583020808405000,call,240.0,1587715200000000,0.1,259.0,0.111,259.0,0.10441800000000001,88.47,222.19,0.478,-0.27801,2020-03-01 00:00:08.405,2020-04-24 08:00:00,54 days 07:59:51.595000
1603,ETH-24APR20-300-C,1583020808405000,call,300.0,1587715200000000,0.0435,282.0,0.055,282.0,0.048548,94.64,222.19,0.26119000000000003,-0.24274,2020-03-01 00:00:08.405,2020-04-24 08:00:00,54 days 07:59:51.595000
1616,ETH-24APR20-200-P,1583020808405000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,276.0,0.084398,88.17,222.19,-0.31581,-0.24736999999999998,2020-03-01 00:00:08.405,2020-04-24 08:00:00,54 days 07:59:51.595000
1590,ETH-24APR20-280-C,1583020808406000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.061727,92.36,222.19,0.31892,-0.26021,2020-03-01 00:00:08.406,2020-04-24 08:00:00,54 days 07:59:51.594000
1903,ETH-24APR20-260-C,1583020809412000,call,260.0,1587715200000000,0.0755,268.0,0.08800000000000001,268.0,0.081118,91.23,222.15,0.39319,-0.27673000000000003,2020-03-01 00:00:09.412,2020-04-24 08:00:00,54 days 07:59:50.588000
2664,ETH-24APR20-280-C,1583020814447000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.061639,92.41,222.06,0.31848000000000004,-0.26004,2020-03-01 00:00:14.447,2020-04-24 08:00:00,54 days 07:59:45.553000
2680,ETH-24APR20-220-P,1583020814447000,put,220.0,1587715200000000,0.1195,258.0,0.1345,258.0,0.1296,88.01,222.06,-0.42182,-0.27149,2020-03-01 00:00:14.447,2020-04-24 08:00:00,54 days 07:59:45.553000
2704,ETH-24APR20-200-P,1583020814447000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,276.0,0.08451,88.08,222.06,-0.31639,-0.24715,2020-03-01 00:00:14.447,2020-04-24 08:00:00,54 days 07:59:45.553000
2761,ETH-24APR20-300-C,1583020814448000,call,300.0,1587715200000000,0.0435,282.0,0.055,282.0,0.048468000000000004,94.68,222.06,0.26079,-0.2425,2020-03-01 00:00:14.448,2020-04-24 08:00:00,54 days 07:59:45.552000
2749,ETH-24APR20-240-C,1583020814448000,call,240.0,1587715200000000,0.1,259.0,0.111,259.0,0.104277,88.52,222.06,0.4774,-0.27799,2020-03-01 00:00:14.448,2020-04-24 08:00:00,54 days 07:59:45.552000
2696,ETH-24APR20-260-C,1583020814448000,call,260.0,1587715200000000,0.0755,268.0,0.08800000000000001,268.0,0.081062,91.28,222.06,0.39289,-0.27669,2020-03-01 00:00:14.448,2020-04-24 08:00:00,54 days 07:59:45.552000
3095,ETH-24APR20-260-C,1583020817873000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.08096,91.28,222.06,0.39289,-0.27669,2020-03-01 00:00:17.873,2020-04-24 08:00:00,54 days 07:59:42.127000
3100,ETH-24APR20-300-C,1583020817897000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.048402999999999995,94.68,222.06,0.26079,-0.2425,2020-03-01 00:00:17.897,2020-04-24 08:00:00,54 days 07:59:42.103000
3501,ETH-24APR20-280-C,1583020819483000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.061565999999999996,92.36,222.06,0.31831,-0.25982,2020-03-01 00:00:19.483,2020-04-24 08:00:00,54 days 07:59:40.517000
3542,ETH-24APR20-200-P,1583020819483000,put,200.0,1587715200000000,0.0755,276.0,0.08900000000000001,276.0,0.084613,88.16,222.06,-0.31642,-0.24738000000000002,2020-03-01 00:00:19.483,2020-04-24 08:00:00,54 days 07:59:40.517000
3553,ETH-24APR20-220-P,1583020819483000,put,220.0,1587715200000000,0.1195,258.0,0.1345,258.0,0.129753,88.12,222.06,-0.42173,-0.27181,2020-03-01 00:00:19.483,2020-04-24 08:00:00,54 days 07:59:40.517000
3565,ETH-24APR20-240-C,1583020819483000,call,240.0,1587715200000000,0.1,259.0,0.111,259.0,0.104163,88.44,222.06,0.47728000000000004,-0.27775,2020-03-01 00:00:19.483,2020-04-24 08:00:00,54 days 07:59:40.517000
4084,ETH-24APR20-240-C,1583020821810000,call,240.0,1587715200000000,0.1,259.0,0.111,409.0,0.10419500000000001,88.45,222.08,0.47736999999999996,-0.27778,2020-03-01 00:00:21.810,2020-04-24 08:00:00,54 days 07:59:38.190000
4364,ETH-24APR20-300-C,1583020823510000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.048416,94.62,222.08,0.26066999999999996,-0.24231999999999998,2020-03-01 00:00:23.510,2020-04-24 08:00:00,54 days 07:59:36.490000
4375,ETH-24APR20-260-C,1583020823510000,call,260.0,1587715200000000,0.0755,268.0,0.0875,268.0,0.080974,91.2,222.08,0.39278,-0.27646,2020-03-01 00:00:23.510,2020-04-24 08:00:00,54 days 07:59:36.490000
4865,ETH-24APR20-280-C,1583020824517000,call,280.0,1587715200000000,0.0575,276.0,0.068,426.0,0.061632000000000006,92.44,222.02,0.31838,-0.26004,2020-03-01 00:00:24.517,2020-04-24 08:00:00,54 days 07:59:35.483000
4773,ETH-24APR20-220-P,1583020824519000,put,220.0,1587715200000000,0.1195,258.0,0.1345,258.0,0.129599,87.94,222.02,-0.42208999999999997,-0.27125,2020-03-01 00:00:24.519,2020-04-24 08:00:00,54 days 07:59:35.481000
5137,ETH-24APR20-240-C,1583020826076000,call,240.0,1587715200000000,0.1,259.0,0.111,259.0,0.104247,88.55,222.02,0.47722,-0.27802,2020-03-01 00:00:26.076,2020-04-24 08:00:00,54 days 07:59:33.924000
5743,ETH-24APR20-300-C,1583020828545000,call,300.0,1587715200000000,0.0435,282.0,0.0545,282.0,0.048392000000000004,94.63,222.04,0.26056,-0.24225,2020-03-01 00:00:28.545,2020-04-24 08:00:00,54 days 07:59:31.455000
